City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
329,camacha,75,PT,1554292800,63,33.08,-16.33,62.6,18.34
330,jacareacanga,36,BR,1554294757,85,-6.22,-57.76,79.88,2.84
331,talas,75,TR,1554292200,37,38.69,35.55,53.6,1.12
332,great falls,20,US,1554294682,79,47.5,-111.29,34.0,2.95
333,simao,24,CN,1554294757,96,22.76,100.79,58.82,2.06
334,merauke,88,ID,1554294758,93,-8.49,140.4,81.59,5.41
335,metro,8,ID,1554294583,71,-5.11,105.31,84.29,7.76
336,sinegorye,80,RU,1554294758,98,62.09,150.53,14.63,2.17
337,qiyang,76,CN,1554294758,96,26.59,111.85,54.86,4.18
338,shingu,0,JP,1554294759,100,33.72,135.99,52.16,10.45
339,belaya gora,0,RU,1554294759,59,68.54,146.19,1.85,2.39
340,cam ranh,40,VN,1554292800,79,11.92,109.15,84.2,9.17
341,atar,48,MR,1554292800,100,20.52,-13.05,71.6,6.93
342,arraial do cabo,40,BR,1554292800,65,-22.97,-42.02,82.4,6.93
343,stykkisholmur,92,IS,1554294760,89,65.08,-22.73,38.57,26.78
344,hammerfest,75,NO,1554292200,100,70.66,23.68,33.8,3.36
345,morondava,0,MG,1554294760,59,-20.3,44.28,90.86,8.55
346,manavalakurichi,40,IN,1554292800,66,8.13,77.3,89.6,6.93
347,maceio,75,BR,1554292800,66,-9.67,-35.74,84.2,3.36
348,ossora,92,RU,1554294761,95,59.24,163.07,32.27,21.74
349,tuktoyaktuk,56,CA,1554294761,78,69.44,-133.03,-0.49,13.69
350,morehead,1,US,1554294692,45,38.18,-83.43,46.4,5.82
351,santiago del estero,0,AR,1554294633,94,-27.8,-64.26,74.3,4.52
352,rawson,36,AR,1554294762,46,-43.3,-65.11,52.16,4.07
353,althofen,75,AT,1554294656,47,46.87,14.47,59.0,2.24
354,ulverstone,0,AU,1554294724,61,-41.16,146.17,51.01,7.0
355,imbituba,0,BR,1554292800,74,-28.24,-48.67,78.8,8.05
356,lazaro cardenas,0,MX,1554294650,33,28.39,-105.62,57.0,3.0
357,cabadiangan,20,PH,1554292800,69,10.45,123.98,80.6,3.36
358,bogorodskoye,12,RU,1554294763,65,52.37,140.44,21.29,4.63
359,mumford,32,GH,1554294763,71,5.26,-0.76,90.14,7.65
360,taltal,32,CL,1554294763,93,-25.41,-70.49,53.24,0.94
361,rafai,0,CF,1554294764,46,4.95,23.92,96.62,9.44
362,teahupoo,20,PF,1554294745,78,-17.83,-149.27,78.8,2.24
363,te anau,0,NZ,1554294764,79,-45.41,167.72,34.79,4.63
364,miandrivazo,0,MG,1554294764,36,-19.53,45.46,95.36,8.21
365,parintins,44,BR,1554294764,80,-2.63,-56.73,82.22,3.06
366,aklavik,40,CA,1554292800,75,68.22,-135.01,-14.81,4.7
367,mangrol,0,IN,1554294765,19,25.33,76.51,98.33,5.75
368,komsomolskiy,80,RU,1554294765,94,67.55,63.78,28.13,12.68
369,rudsar,40,IR,1554292800,82,37.14,50.29,60.8,6.93
370,kahta,75,TR,1554292200,76,37.78,38.62,54.0,5.82
371,axim,12,GH,1554294766,92,4.87,-2.24,85.28,11.79
372,bud,0,NO,1554294654,34,62.91,6.91,50.0,3.36
373,atikokan,0,CA,1554294766,73,48.76,-91.62,16.52,5.64
374,eyl,20,SO,1554294766,81,7.98,49.82,84.11,10.45
375,cockburn town,0,TC,1554294767,97,21.46,-71.14,78.71,10.0
376,monroe,1,US,1554294587,86,41.91,-83.4,42.01,8.05
377,pirot,20,RS,1554292800,36,43.16,22.59,64.4,6.93
378,conceicao do araguaia,8,BR,1554294614,100,-8.26,-49.26,79.7,4.29
379,aksarka,0,RU,1554294768,88,66.56,67.8,26.96,14.7
380,jaisalmer,0,IN,1554294588,19,26.91,70.91,102.74,5.19
381,hollins,1,US,1554294724,56,37.35,-79.95,48.99,10.29
382,uvat,36,RU,1554294768,51,59.14,68.9,37.94,3.06
